ID_CLIENTE,CANAL,PRECIO_ASIGNADO,ZONA,CLAS_VENTA,TIPO_FACT
261,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
262,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
263,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
264,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
265,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
266,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
267,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
268,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
269,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
270,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
271,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
272,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
273,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
274,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
275,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
276,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
277,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
278,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
279,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
280,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
281,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
282,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
283,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
284,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
285,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
286,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
287,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
288,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
289,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
290,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
